Guest,Podcast number,Thumbnail,Playlist Link
Subhasis Pradhan,19,https://static.wixstatic.com/media/e50297_eccab204cdcb44bebfa9ddc987987b57~mv2.jpg,https://www.youtube.com/playlist?list=PLrOeA8xRZt1f9o-AL9Mz5OKN0itia9Agd
Abhimanyu Singh Bhakuni,1,https://static.wixstatic.com/media/e50297_6d47dc0373524d4d9f5736e3afeef5ad~mv2.jpg,https://www.youtube.com/watch?v=DIzJ2FMUvls&list=PLrOeA8xRZt1e8wDpHFp1hpcoBb4Jcq759
Werner Ulbts,2,https://static.wixstatic.com/media/e50297_3f55a8336abc4d0a885f5e3bcab63bdc~mv2.jpg,https://www.youtube.com/watch?v=4x2_wg7qR_M&list=PLrOeA8xRZt1dm4WAJu4gqCZsm7Z35PUYo
Herbert Ten Have,22,https://static.wixstatic.com/media/e50297_5b48db0909be433d8d480b8ceb970fc1~mv2.jpg,https://www.youtube.com/playlist?list=PLrOeA8xRZt1fZXONksS9HmSuWKDB1cbdH
Prajval Kumar Murali,18,https://static.wixstatic.com/media/e50297_99b56e5df8bf4175a5587bd7151c5a2a~mv2.jpg,https://www.youtube.com/watch?v=xe4bQU1CZno&list=PLrOeA8xRZt1fNFTamD1Fg3Q0pDNJEtQYQ
Johannes Nakayama,3,https://static.wixstatic.com/media/e50297_4e0ffbde1df849f7a66a96774a7ee3aa~mv2.jpg,https://www.youtube.com/watch?v=c7Fh9qXnfoI&list=PLrOeA8xRZt1cbPaWiJphZxCg8-vSHAsOj
Claudio Zito,4,https://static.wixstatic.com/media/e50297_047a7551231a4309b33b9ae493ac84f6~mv2.jpg,https://www.youtube.com/watch?v=MgYF7LLItpQ&list=PLrOeA8xRZt1cqMrBtR59ySiMZ959O1wWq
Julio Sevarolli,5,https://static.wixstatic.com/media/e50297_a6b444fe047740119d9398c8029c0b87~mv2.jpg,https://www.youtube.com/watch?v=w82FPKCHUG4&list=PLrOeA8xRZt1clBX0wfsr47eHFfa1m7ovP
Mateusz Sadowski,6,https://static.wixstatic.com/media/e50297_1b7ec89631f34ea7be53e294f8377adb~mv2.jpg,https://www.youtube.com/watch?v=yVwvRXskNBg&list=PLrOeA8xRZt1fWWNm8RQKkxaUWP2gHD7Gs
Ruslan Goryannyy,7,https://static.wixstatic.com/media/e50297_eed2dfab5e254fdd98e9ad8700293deb~mv2.jpg,https://www.youtube.com/watch?v=4I8e4slK6O0&list=PLrOeA8xRZt1fE6ZdouK9AxqqpgjfLCOBB
Jonas Zagatta,8,https://static.wixstatic.com/media/e50297_38787e3edc934600b79a63666e147778~mv2.jpg,https://www.youtube.com/watch?v=6frCPZU7N_k&list=PLrOeA8xRZt1eQHvUY4TDaK9BKPlzMQ_Vt
Soumya Chatterjee,9,https://static.wixstatic.com/media/e50297_2a85f814cf804bc0918bad5aefbaca37~mv2.jpg,https://www.youtube.com/watch?v=IBDrUQxJUls&list=PLrOeA8xRZt1dq8CGLah4Jvkw3DnDHBW6s
Vamsi Krishna,10,https://static.wixstatic.com/media/e50297_d31c175c30364a8ea2f95d228acdf4da~mv2.jpg,https://www.youtube.com/watch?v=Cy-bzYUtSLU&list=PLrOeA8xRZt1dnkDh9gNVgxUyw21OYO-UV
Sambit Praharaj,11,https://static.wixstatic.com/media/e50297_df35793aeb5d423d8e090114c87d6d69~mv2.jpg,https://www.youtube.com/watch?v=8f04lRwoFG8&list=PLrOeA8xRZt1d5oSHQRd_USN_GyAtC18nv
Sanjeev Sharma,12,https://static.wixstatic.com/media/e50297_36d4c9eee5314d8d8917ac1bcd945e4f~mv2.jpg,https://www.youtube.com/watch?v=7tfbFd_UnnA&list=PLrOeA8xRZt1dxGo9u-r7t4gJe4SWhaWhp
Jens Dröge,13,https://static.wixstatic.com/media/e50297_bcb761f60463420c93cb1fa9ccbf7366~mv2.jpg,https://www.youtube.com/watch?v=tuCiQlUf89k&list=PLrOeA8xRZt1dKIMnV-ezQh0QTErvkx0II
Sohini Roychowdhary,14,https://static.wixstatic.com/media/e50297_eeab17a9e4024b2ca534955d994a408e~mv2.jpg,https://www.youtube.com/watch?v=X8JxtU4m3pg&list=PLrOeA8xRZt1dRNp4KiQgVj7bevN6z61ig
Aravinth Panch,15,https://static.wixstatic.com/media/e50297_c72a7ed7f17444f48ac64c5a1b223e92~mv2.jpg,https://www.youtube.com/watch?v=AWJDFUtKcJs&list=PLrOeA8xRZt1e7mYbZDQlpqd47aoTYXmSV
Tim Doerks,16,https://static.wixstatic.com/media/e50297_c8eacecade99485daa110070abf4d1d0~mv2.jpg,https://www.youtube.com/watch?v=B_iBzLR1NAQ&list=PLrOeA8xRZt1cwkheKcvIzGaeNlXiofoBw
Lentin Joseph,17,https://static.wixstatic.com/media/e50297_01e6a2fbfe12462d9e58ffd50897222a~mv2.jpg,https://www.youtube.com/watch?v=uCak6m2QLCk&list=PLrOeA8xRZt1dcUeLgOnnzf16rnHRB_OMy
Dr. David Fischinger,20,https://static.wixstatic.com/media/e50297_31fc71dc433f46af8bfd49caae581ae5~mv2.jpg,https://www.youtube.com/playlist?list=PLrOeA8xRZt1cFEzd3pL3ey7hnOMxHTpez
Sebastian Castro,21,https://static.wixstatic.com/media/e50297_93b278bf24f34dd6a69a11f39555155e~mv2.jpg,https://www.youtube.com/playlist?list=PLrOeA8xRZt1d4pgVG_NRr4FE3hi5vlCbX
